date_string,sp500,dividend,dividend,earnings,earnings,cpi,cape,real_price,long_interest_rate
1926-04-01,11.48,0.63,11.4532592178771,1.247,22.670181340782133,17.9,10.395587685954734,208.7038346368716,3.595
1926-05-01,11.56,0.6375,11.654717696629216,1.246,22.779260000000008,17.8,10.5751584638061,211.33888089887648,3.566666666666667
1926-06-01,12.11,0.645,11.858452542372886,1.245,22.88957118644069,17.7,11.197979740229963,222.64474463276844,3.5383333333333336
1926-07-01,12.62,0.6525,12.133442571428576,1.244,23.132570971428578,17.5,11.86969405848128,234.67286628571435,3.51
1926-08-01,13.12,0.66,12.34344137931035,1.243,23.24681459770116,17.4,12.488808219521879,245.37265287356328,3.4816666666666665
1926-09-01,13.32,0.6675,12.412372285714289,1.242,23.09538034285715,17.5,12.692614823344721,247.6895862857144,3.453333333333333
1926-10-01,13.02,0.675,12.48051988636364,1.242,22.9641565909091,17.6,12.426517521583357,240.73536136363646,3.425
1926-11-01,13.19,0.6825,12.547897457627123,1.241,22.816030395480237,17.7,12.615251212344486,242.50075819209047,3.3966666666666665
1926-12-01,13.49,0.69,12.68578644067797,1.24,22.79764519774012,17.7,13.009052728993131,248.0163175141244,3.3683333333333327
1927-01-01,13.4,0.6967,12.955355462857147,1.229,22.853641257142865,17.5,13.185930628677795,249.17721142857152,3.34
1927-02-01,13.66,0.7033,13.153245942528741,1.218,22.779260000000008,17.4,13.633966132216214,255.47183218390813,3.339166666666666
1927-03-01,13.87,0.71,13.355305202312142,1.208,22.722829132947986,17.3,14.033257507604494,260.8987086705203,3.3383333333333334
1927-04-01,14.21,0.7167,13.481334138728327,1.197,22.515915953757236,17.3,14.488222209157056,267.2942069364163,3.3375
1927-05-01,14.7,0.7233,13.527289620689661,1.186,22.18079011494254,17.4,15.002347055737117,274.92210344827595,3.336666666666667
1927-06-01,14.89,0.73,13.49745113636364,1.175,21.72534943181819,17.6,15.120333481747533,275.3110238636365,3.3358333333333334
1927-07-01,15.22,0.7367,13.85753991907515,1.164,21.895176416184977,17.3,15.820802594477753,286.29259884393076,3.335
1927-08-01,16.03,0.7433,14.062976709302331,1.153,21.814357790697684,17.2,16.862861852763807,303.28200813953504,3.3341666666666665
1927-09-01,16.94,0.75,14.107716763005785,1.143,21.500160346820817,17.3,17.818723713516423,318.6462959537573,3.3333333333333335
1927-10-01,16.68,0.7567,14.151942563218398,1.132,21.170872183908056,17.4,17.537237852261086,311.952427586207,3.3325
1927-11-01,17.06,0.7633,14.35789360693642,1.121,21.086333988439314,17.3,18.131301434952427,320.90353063583825,3.3316666666666666
1927-12-01,17.46,0.77,14.483922543352607,1.11,20.879420809248565,17.3,18.646624021402527,328.4276462427747,3.3308333333333335
1928-01-01,17.53,0.7767,14.60995147976879,1.133,21.312057456647405,17.3,18.806128571700768,329.7443664739885,3.33
1928-02-01,17.32,0.7833,14.906428035087725,1.155,21.97998771929825,17.1,18.868850519584033,329.60466432748547,3.3525
1928-03-01,18.25,0.79,15.033930994152051,1.177,22.39865415204679,17.1,19.94341779906454,347.30283625731005,3.375
1928-04-01,19.4,0.7967,15.161433953216378,1.2,22.836350877192988,17.1,21.2579092494875,369.18767251462,3.3975
1928-05-01,20,0.8033,15.198155779069772,1.222,23.11981372093024,17.2,21.832732178740024,378.3930232558141,3.42
1928-06-01,19.02,0.81,15.414536842105267,1.245,23.69271403508773,17.1,20.913421576866703,361.9561614035089,3.4425
1928-07-01,19.16,0.8167,15.542039801169595,1.268,24.130410760233925,17.1,21.081905435296793,364.6204023391814,3.465
1928-08-01,19.78,0.8233,15.667639730994157,1.29,24.549077192982462,17.1,21.762131502579237,376.41918362573114,3.4875
1928-09-01,21.17,0.83,15.612539884393067,1.312,24.679099190751455,17.3,23.004649446159238,398.21381849710997,3.51
1928-10-01,21.6,0.8367,15.830072127906982,1.335,25.25773430232559,17.2,23.578344239585046,408.66446511627925,3.5324999999999998
1928-11-01,23.06,0.8433,15.954941825581402,1.357,25.673966627906985,17.2,25.121984571109603,436.2871558139537,3.555
1928-12-01,23.15,0.85,16.1757485380117,1.38,26.261803508771933,17.1,25.30159102742616,440.5512690058481,3.5775
1929-01-01,24.86,0.86,16.366051461988306,1.399,26.623379064327494,17.1,27.083199620832772,473.09306900584806,3.6
1929-02-01,24.99,0.87,16.556354385964916,1.418,26.984954619883048,17.1,27.131672798247386,475.567007017544,3.5741666666666667
